panel,station_id,label_code,method,runs,epsilons,seeds,sample_rule,n_rows,positive_rows,auroc_mean,auroc_std,auprc_mean,auprc_std,precision_at_k_mean,selected_runs,runtime_sec_mean,selected_by_case_mean_auprc
hadisd_multistation_streak_pmldp,701045-26649,DSS,privsaf_hmm,6,"2.0,4.0","0,1,2",full,58610,469,0.47158720228537376,0.08253622836164581,0.008317544987122068,0.002388021595750516,0.009594882729211088,2,0.6030485686593844,1
hadisd_multistation_streak_pmldp,701045-26649,DSS,privsaf_mixture,6,"2.0,4.0","0,1,2",full,58610,469,0.49404076886487763,0.028610612403113515,0.008136800139707712,0.0005411156968565187,0.0,4,0.009018411161378026,0
hadisd_multistation_streak_pmldp,701045-26649,DSS,pm_column_likelihood_scan,6,"2.0,4.0","0,1,2",full,58610,469,0.41079109547022213,0.02861091722985986,0.006315707790729457,0.000481471368257752,0.004619758351101635,0,0.1401793238328537,0
hadisd_multistation_streak_pmldp,702606-96401,RSS,privsaf_hmm,6,"2.0,4.0","0,1,2",full,692,140,0.9690670289855072,0.008575800748195648,0.895819053200694,0.01950406413964464,0.7999999999999999,6,0.007051360662444495,1
hadisd_multistation_streak_pmldp,702606-96401,RSS,privsaf_mixture,6,"2.0,4.0","0,1,2",full,692,140,0.869970669427191,0.06254929890064675,0.600666632719273,0.1575365555565447,0.5476190476190476,0,0.005120647663716227,0
hadisd_multistation_streak_pmldp,702606-96401,RSS,pm_column_likelihood_scan,6,"2.0,4.0","0,1,2",full,692,140,0.8454494478951,0.03827612184413047,0.4655483754834488,0.03763028104985646,0.5071428571428571,0,0.00169840000065354,0
hadisd_multistation_streak_pmldp,718436-99999,TSS,privsaf_hmm,6,"2.0,4.0","0,1,2",full,37912,54,0.606589748305722,0.07106608943025368,0.003045872064658794,0.001460250930372086,0.0,2,0.38999839849808876,1
hadisd_multistation_streak_pmldp,718436-99999,TSS,privsaf_mixture,6,"2.0,4.0","0,1,2",full,37912,54,0.6117053965141995,0.10626601099615868,0.0026301079607705877,0.0009781772544535127,0.0,4,0.0075602131594981374,0
hadisd_multistation_streak_pmldp,718436-99999,TSS,pm_column_likelihood_scan,6,"2.0,4.0","0,1,2",full,37912,54,0.5285593289152642,0.02326864380086151,0.001529198732196652,0.0001036886307124059,0.0,0,0.09075717850161406,0
hadisd_multistation_streak_pmldp,718436-99999,WSS,privsaf_hmm,6,"2.0,4.0","0,1,2",full,37953,715,0.7530624843584723,0.2502458687393861,0.2840273131253272,0.29127789361644296,0.26503496503496504,3,0.39172474450121325,1
hadisd_multistation_streak_pmldp,718436-99999,WSS,privsaf_mixture,6,"2.0,4.0","0,1,2",full,37953,715,0.5651258001357362,0.1578505178209089,0.028154273214947415,0.008551346293642917,0.01818181818181818,3,0.007581623334165973,0
hadisd_multistation_streak_pmldp,718436-99999,WSS,pm_column_likelihood_scan,6,"2.0,4.0","0,1,2",full,37953,715,0.39546996945622004,0.054596229008179335,0.015216241840275141,0.0019852253680437745,0.01958041958041958,0,0.09118193300188675,0
hadisd_multistation_streak_pmldp,727795-99999,WSS,privsaf_hmm,6,"2.0,4.0","0,1,2",full,48248,251,0.6339245389423824,0.3937736777770401,0.28810190803800295,0.31358633794595,0.2861885790172643,3,0.4985977111694713,1
hadisd_multistation_streak_pmldp,727795-99999,WSS,privsaf_mixture,6,"2.0,4.0","0,1,2",full,48248,251,0.7092290186020646,0.09789460176247827,0.009791047491280486,0.0029424592600306096,0.0026560424966799467,3,0.008341926833963953,0
hadisd_multistation_streak_pmldp,727795-99999,WSS,pm_column_likelihood_scan,6,"2.0,4.0","0,1,2",full,48248,251,0.4147577173993915,0.029432703266509513,0.004073644374655132,0.0003151396063072537,0.0026560424966799467,0,0.11598405283196674,0
hadisd_multistation_streak_pmldp,784575-99999,RSS,privsaf_hmm,6,"2.0,4.0","0,1,2",full,864,75,0.4877453879735249,0.2544046916011866,0.21074361283055176,0.3516258121026194,0.14222222222222222,1,0.008809058829986801,1
hadisd_multistation_streak_pmldp,784575-99999,RSS,privsaf_mixture,6,"2.0,4.0","0,1,2",full,864,75,0.6909857766511759,0.16021845958734274,0.14234235433844636,0.055582188862470926,0.12888888888888891,4,0.005152479333143371,0
hadisd_multistation_streak_pmldp,784575-99999,RSS,pm_column_likelihood_scan,6,"2.0,4.0","0,1,2",full,864,75,0.4276313195324602,0.0353409534580204,0.07158770496251486,0.005020809199222998,0.04888888888888889,1,0.0021005978390652067,0
hadisd_multistation_streak_pmldp,784575-99999,WSS,privsaf_mixture,6,"2.0,4.0","0,1,2",full,84574,733,0.5218549442634489,0.08913416252595163,0.009753590899631374,0.0034817916066819106,0.01273306048203729,2,0.010782760500054186,1
hadisd_multistation_streak_pmldp,784575-99999,WSS,pm_column_likelihood_scan,6,"2.0,4.0","0,1,2",full,84574,733,0.48665766892972045,0.033280620344286437,0.008734541912888888,0.000462796337529513,0.011368804001819008,3,0.20177961417357437,0
hadisd_multistation_streak_pmldp,784575-99999,WSS,privsaf_hmm,6,"2.0,4.0","0,1,2",full,84574,733,0.4767127391174439,0.058422368476603294,0.008011484070592925,0.001413414376741048,0.001136880400181901,1,0.8764073853332471,0
hadisd_multistation_streak_pmldp,788461-99999,TSS,pm_column_likelihood_scan,6,"2.0,4.0","0,1,2",full,74927,138,0.3993919237393342,0.026795037416625866,0.0017029428164116005,0.0002606484057750507,0.0024154589371980675,3,0.17912605150195304,1
hadisd_multistation_streak_pmldp,788461-99999,TSS,privsaf_mixture,6,"2.0,4.0","0,1,2",full,74927,138,0.39940560151093035,0.021929388790564917,0.001680685130034737,0.00014019834721132812,0.0036231884057971015,3,0.010127260339989638,0
hadisd_multistation_streak_pmldp,788461-99999,TSS,privsaf_hmm,6,"2.0,4.0","0,1,2",full,74927,138,0.3503292321980492,0.06378004965574154,0.0013346430398711586,0.00017369646243017118,0.0,0,0.7751990364922676,0
