scale_rows,devices,db_file_bytes,design,stage,input_rows,output_rows,elapsed_sec,throughput_rows_per_sec,query
200000,2000,30838784,heap_base,create_base_schema,1,1,0.0003230860020266846,3095.151116814424,"pragma journal_mode = wal; pragma synchronous = normal; pragma temp_store = memory; create table reports( report_id integer primary key, device_id integer not null, ts integer not null, report_bucket integer not null, epsilon real not null, mechanism_id text not null, calibration_version text not null ); create table mechanism_weights( mechanism_id text not null, epsilon real not null, report_bucket integer not null, stuck_bucket integer not null, logp_normal real not null, logp_fault real not null, primary key(mechanism_id, epsilon, report_bucket, stuck_bucket) ); create table router_policy( operator text primary key, semantic_layer text not null, output_relation text not null, privacy_effect text not null ); create table cleaning_records( report_id integer primary key, device_id integer not null, ts integer not null, operator text not null, posterior real not null, stuck_bucket integer, fault_ratio real not null, action text not null, repair_value real, provenance_version text not null ); create table provenance_edges( output_report_id integer not null, source_table text not null, source_key integer not null, transform text not null, mechanism_id text not null, calibration_version text not null ); create table privacy_ledger( device_id integer primary key, reports integer not null, epsilon_sum real not null, device_budget real not null, remaining_budget real not null );"
200000,2000,30838784,heap_base,load_mechanism_matrix,3072,3072,0.0021738569921581075,1413156.4362705646,"insert into mechanism_weights values (?, ?, ?, ?, ?, ?)"
200000,2000,30838784,heap_base,load_router_policy,3,3,9.171009878627956e-06,327117.7372724431,"insert into router_policy values (?, ?, ?, ?)"
200000,2000,30838784,heap_base,ingest_reports,200000,200000,0.09011605000705458,2219360.480007095,"insert into reports values (?, ?, ?, ?, ?, ?, ?)"
200000,2000,30838784,heap_base,materialize_device_privacy_ledger,200000,2000,0.03157654700044077,6333814.777062491,"insert into privacy_ledger select device_id, count(*), sum(epsilon), 1000.0, 1000.0 - sum(epsilon) from reports group by device_id"
200000,2000,30838784,heap_base,derive_cleaning_records,200000,200000,0.07357666299503762,2718253.205007259,"insert into cleaning_records select report_id, device_id, ts, case when ((report_bucket * 17 + device_id) % 100) / 100.0 >= 0.80 then 'privsaf_hmm' when ((report_bucket * 17 + device_id) % 100) / 100.0 >= 0.65 then 'pm_window_glr' else 'privsaf_mixture' end as operator, ((report_bucket * 17 + device_id) % 100) / 100.0 as posterior, case when ((report_bucket * 17 + device_id) % 100) / 100.0 >= 0.65 then report_bucket else null end, 0.20 as fault_ratio, case when ((report_bucket * 17 + device_id) % 100) / 100.0 >= 0.80 then 'repair' when ((report_bucket * 17 + device_id) % 100) / 100.0 >= 0.65 then 'flag' else 'pass' end as action, (2.0 * report_bucket / 31.0) - 1.0 as repair_value, 'router_v1' as provenance_version from reports"
200000,2000,30838784,heap_base,write_provenance_edges,200000,200000,0.02334077699924819,8568695.03557838,"insert into provenance_edges select report_id, 'reports', report_id, operator, 'pm32', 'cal_v1' from cleaning_records"
200000,2000,47730688,indexed_base,create_base_schema,1,1,0.00027639900508802384,3617.958030209021,"pragma journal_mode = wal; pragma synchronous = normal; pragma temp_store = memory; create table reports( report_id integer primary key, device_id integer not null, ts integer not null, report_bucket integer not null, epsilon real not null, mechanism_id text not null, calibration_version text not null ); create table mechanism_weights( mechanism_id text not null, epsilon real not null, report_bucket integer not null, stuck_bucket integer not null, logp_normal real not null, logp_fault real not null, primary key(mechanism_id, epsilon, report_bucket, stuck_bucket) ); create table router_policy( operator text primary key, semantic_layer text not null, output_relation text not null, privacy_effect text not null ); create table cleaning_records( report_id integer primary key, device_id integer not null, ts integer not null, operator text not null, posterior real not null, stuck_bucket integer, fault_ratio real not null, action text not null, repair_value real, provenance_version text not null ); create table provenance_edges( output_report_id integer not null, source_table text not null, source_key integer not null, transform text not null, mechanism_id text not null, calibration_version text not null ); create table privacy_ledger( device_id integer primary key, reports integer not null, epsilon_sum real not null, device_budget real not null, remaining_budget real not null );"
200000,2000,47730688,indexed_base,load_mechanism_matrix,3072,3072,0.0020826529944315553,1475041.6935580187,"insert into mechanism_weights values (?, ?, ?, ?, ?, ?)"
200000,2000,47730688,indexed_base,load_router_policy,3,3,8.137008990161121e-06,368685.8406605493,"insert into router_policy values (?, ?, ?, ?)"
200000,2000,47730688,indexed_base,ingest_reports,200000,200000,0.08944735399563797,2235952.1111127925,"insert into reports values (?, ?, ?, ?, ?, ?, ?)"
200000,2000,47730688,indexed_base,build_secondary_indexes,200000,0,0.1130302399978973,1769437.9840626775,"create indexes for report, cleaning, provenance access paths"
200000,2000,47730688,indexed_base,materialize_device_privacy_ledger,200000,2000,0.038133210997330025,5244772.070571329,"insert into privacy_ledger select device_id, count(*), sum(epsilon), 1000.0, 1000.0 - sum(epsilon) from reports group by device_id"
200000,2000,47730688,indexed_base,derive_cleaning_records,200000,200000,0.2682795799919404,745490.9538996905,"insert into cleaning_records select report_id, device_id, ts, case when ((report_bucket * 17 + device_id) % 100) / 100.0 >= 0.80 then 'privsaf_hmm' when ((report_bucket * 17 + device_id) % 100) / 100.0 >= 0.65 then 'pm_window_glr' else 'privsaf_mixture' end as operator, ((report_bucket * 17 + device_id) % 100) / 100.0 as posterior, case when ((report_bucket * 17 + device_id) % 100) / 100.0 >= 0.65 then report_bucket else null end, 0.20 as fault_ratio, case when ((report_bucket * 17 + device_id) % 100) / 100.0 >= 0.80 then 'repair' when ((report_bucket * 17 + device_id) % 100) / 100.0 >= 0.65 then 'flag' else 'pass' end as action, (2.0 * report_bucket / 31.0) - 1.0 as repair_value, 'router_v1' as provenance_version from reports"
200000,2000,47730688,indexed_base,write_provenance_edges,200000,200000,0.03944386598595884,5070496.894781958,"insert into provenance_edges select report_id, 'reports', report_id, operator, 'pm32', 'cal_v1' from cleaning_records"
200000,2000,62443520,materialized_batch,create_base_schema,1,1,0.0002541940048104152,3934.0030884907264,"pragma journal_mode = wal; pragma synchronous = normal; pragma temp_store = memory; create table reports( report_id integer primary key, device_id integer not null, ts integer not null, report_bucket integer not null, epsilon real not null, mechanism_id text not null, calibration_version text not null ); create table mechanism_weights( mechanism_id text not null, epsilon real not null, report_bucket integer not null, stuck_bucket integer not null, logp_normal real not null, logp_fault real not null, primary key(mechanism_id, epsilon, report_bucket, stuck_bucket) ); create table router_policy( operator text primary key, semantic_layer text not null, output_relation text not null, privacy_effect text not null ); create table cleaning_records( report_id integer primary key, device_id integer not null, ts integer not null, operator text not null, posterior real not null, stuck_bucket integer, fault_ratio real not null, action text not null, repair_value real, provenance_version text not null ); create table provenance_edges( output_report_id integer not null, source_table text not null, source_key integer not null, transform text not null, mechanism_id text not null, calibration_version text not null ); create table privacy_ledger( device_id integer primary key, reports integer not null, epsilon_sum real not null, device_budget real not null, remaining_budget real not null );"
200000,2000,62443520,materialized_batch,load_mechanism_matrix,3072,3072,0.0021525860065594316,1427120.677473002,"insert into mechanism_weights values (?, ?, ?, ?, ?, ?)"
200000,2000,62443520,materialized_batch,load_router_policy,3,3,7.153998012654483e-06,419345.9370121985,"insert into router_policy values (?, ?, ?, ?)"
200000,2000,62443520,materialized_batch,ingest_reports,200000,200000,0.08968919400649611,2229923.038281671,"insert into reports values (?, ?, ?, ?, ?, ?, ?)"
200000,2000,62443520,materialized_batch,build_secondary_indexes,200000,0,0.11340598900278565,1763575.2904997575,"create indexes for report, cleaning, provenance access paths"
200000,2000,62443520,materialized_batch,materialize_device_privacy_ledger,200000,2000,0.03830979698977899,5220596.706721254,"insert into privacy_ledger select device_id, count(*), sum(epsilon), 1000.0, 1000.0 - sum(epsilon) from reports group by device_id"
200000,2000,62443520,materialized_batch,derive_cleaning_records,200000,200000,0.26962143898708746,741780.7751169901,"insert into cleaning_records select report_id, device_id, ts, case when ((report_bucket * 17 + device_id) % 100) / 100.0 >= 0.80 then 'privsaf_hmm' when ((report_bucket * 17 + device_id) % 100) / 100.0 >= 0.65 then 'pm_window_glr' else 'privsaf_mixture' end as operator, ((report_bucket * 17 + device_id) % 100) / 100.0 as posterior, case when ((report_bucket * 17 + device_id) % 100) / 100.0 >= 0.65 then report_bucket else null end, 0.20 as fault_ratio, case when ((report_bucket * 17 + device_id) % 100) / 100.0 >= 0.80 then 'repair' when ((report_bucket * 17 + device_id) % 100) / 100.0 >= 0.65 then 'flag' else 'pass' end as action, (2.0 * report_bucket / 31.0) - 1.0 as repair_value, 'router_v1' as provenance_version from reports"
200000,2000,62443520,materialized_batch,write_provenance_edges,200000,200000,0.03941281099105254,5074492.150417889,"insert into provenance_edges select report_id, 'reports', report_id, operator, 'pm32', 'cal_v1' from cleaning_records"
200000,2000,62443520,materialized_batch,batch_materialize_query_state,200000,4000,0.45499590899271425,439564.39178270183,"create table mv_report_counts as select mechanism_id, epsilon, report_bucket, count(*) as n from reports group by mechanism_id, epsilon, report_bucket; create index idx_mv_report_counts_channel on mv_report_counts(mechanism_id, epsilon, report_bucket); create table candidate_likelihoods as select c.mechanism_id, c.epsilon, w.stuck_bucket, sum(c.n * w.logp_fault) as fault_loglik, sum(c.n * w.logp_normal) as normal_loglik, sum(c.n * (w.logp_fault - w.logp_normal)) as llr from mv_report_counts c join mechanism_weights w on w.mechanism_id = c.mechanism_id and w.epsilon = c.epsilon and w.report_bucket = c.report_bucket group by c.mechanism_id, c.epsilon, w.stuck_bucket; create index idx_candidate_likelihoods_llr on candidate_likelihoods(epsilon, llr desc); create table privacy_budget_trace as select report_id, device_id, ts, epsilon, cumulative_epsilon, 1000.0 - cumulative_epsilon as remaining_budget from ( select report_id, device_id, ts, epsilon, sum(epsilon) over ( partition by device_id order by ts rows between unbounded preceding and current row ) as cumulative_epsilon from reports ); create index idx_budget_trace_device_ts on privacy_budget_trace(device_id, ts); create index idx_budget_trace_remaining on privacy_budget_trace(remaining_budget, device_id); create table cleaned_event_windows as select c.device_id, c.ts / 60 as hour_id, min(c.ts) as start_ts, max(c.ts) as end_ts, count(*) as flagged_reports, avg(c.posterior) as avg_posterior, group_concat(distinct p.semantic_layer) as routed_semantics from cleaning_records c join router_policy p on p.operator = c.operator where c.action in ('flag', 'repair') group by c.device_id, c.ts / 60 having count(*) >= 2; create index idx_cleaned_event_windows_device_hour on cleaned_event_windows(device_id, hour_id); create table repair_uncertainty_analytics as select r.device_id, r.ts / 60 as hour_id, count(*) as reports, avg(case when c.action = 'repair' then c.repair_value else (2.0 * r.report_bucket / 31.0) - 1.0 end) as cleaned_mean, avg((2.0 * r.report_bucket / 31.0) - 1.0) as unrepaired_mean, avg(c.posterior * (1.0 - c.posterior)) as uncertainty_proxy, sum(case when c.action = 'repair' then 1 else 0 end) as repair_count from reports r join cleaning_records c using(report_id) group by r.device_id, r.ts / 60; create index idx_repair_uncertainty_device_hour on repair_uncertainty_analytics(device_id, hour_id);"
200000,2000,31453184,incremental_mv,create_base_schema,1,1,0.0002518679975764826,3970.333705044598,"pragma journal_mode = wal; pragma synchronous = normal; pragma temp_store = memory; create table reports( report_id integer primary key, device_id integer not null, ts integer not null, report_bucket integer not null, epsilon real not null, mechanism_id text not null, calibration_version text not null ); create table mechanism_weights( mechanism_id text not null, epsilon real not null, report_bucket integer not null, stuck_bucket integer not null, logp_normal real not null, logp_fault real not null, primary key(mechanism_id, epsilon, report_bucket, stuck_bucket) ); create table router_policy( operator text primary key, semantic_layer text not null, output_relation text not null, privacy_effect text not null ); create table cleaning_records( report_id integer primary key, device_id integer not null, ts integer not null, operator text not null, posterior real not null, stuck_bucket integer, fault_ratio real not null, action text not null, repair_value real, provenance_version text not null ); create table provenance_edges( output_report_id integer not null, source_table text not null, source_key integer not null, transform text not null, mechanism_id text not null, calibration_version text not null ); create table privacy_ledger( device_id integer primary key, reports integer not null, epsilon_sum real not null, device_budget real not null, remaining_budget real not null );"
200000,2000,31453184,incremental_mv,create_incremental_triggers,1,1,0.0001890960120363161,5288.318824026542,"create table mv_report_counts_inc( mechanism_id text not null, epsilon real not null, report_bucket integer not null, n integer not null, primary key(mechanism_id, epsilon, report_bucket) ); create table privacy_ledger_inc( device_id integer primary key, reports integer not null, epsilon_sum real not null, device_budget real not null, remaining_budget real not null ); create table repair_uncertainty_inc( device_id integer not null, hour_id integer not null, reports integer not null, posterior_sum real not null, repair_count integer not null, cleaned_sum real not null, raw_sum real not null, uncertainty_sum real not null, primary key(device_id, hour_id) ); create table event_windows_inc( device_id integer not null, hour_id integer not null, start_ts integer not null, end_ts integer not null, flagged_reports integer not null, posterior_sum real not null, primary key(device_id, hour_id) ); create trigger reports_to_count_inc after insert on reports begin insert into mv_report_counts_inc(mechanism_id, epsilon, report_bucket, n) values(new.mechanism_id, new.epsilon, new.report_bucket, 1) on conflict(mechanism_id, epsilon, report_bucket) do update set n = mv_report_counts_inc.n + 1; insert into privacy_ledger_inc(device_id, reports, epsilon_sum, device_budget, remaining_budget) values(new.device_id, 1, new.epsilon, 1000.0, 1000.0 - new.epsilon) on conflict(device_id) do update set reports = privacy_ledger_inc.reports + 1, epsilon_sum = privacy_ledger_inc.epsilon_sum + excluded.epsilon_sum, remaining_budget = privacy_ledger_inc.device_budget - (privacy_ledger_inc.epsilon_sum + excluded.epsilon_sum); end; create trigger cleaning_to_repair_inc after insert on cleaning_records begin insert into repair_uncertainty_inc( device_id, hour_id, reports, posterior_sum, repair_count, cleaned_sum, raw_sum, uncertainty_sum ) values( new.device_id, new.ts / 60, 1, new.posterior, case when new.action = 'repair' then 1 else 0 end, new.repair_value, new.repair_value, new.posterior * (1.0 - new.posterior) ) on conflict(device_id, hour_id) do update set reports = repair_uncertainty_inc.reports + 1, posterior_sum = repair_uncertainty_inc.posterior_sum + excluded.posterior_sum, repair_count = repair_uncertainty_inc.repair_count + excluded.repair_count, cleaned_sum = repair_uncertainty_inc.cleaned_sum + excluded.cleaned_sum, raw_sum = repair_uncertainty_inc.raw_sum + excluded.raw_sum, uncertainty_sum = repair_uncertainty_inc.uncertainty_sum + excluded.uncertainty_sum; end; create trigger cleaning_to_event_inc after insert on cleaning_records when new.action in ('flag', 'repair') begin insert into event_windows_inc(device_id, hour_id, start_ts, end_ts, flagged_reports, posterior_sum) values(new.device_id, new.ts / 60, new.ts, new.ts, 1, new.posterior) on conflict(device_id, hour_id) do update set start_ts = min(event_windows_inc.start_ts, excluded.start_ts), end_ts = max(event_windows_inc.end_ts, excluded.end_ts), flagged_reports = event_windows_inc.flagged_reports + 1, posterior_sum = event_windows_inc.posterior_sum + excluded.posterior_sum; end;"
200000,2000,31453184,incremental_mv,load_mechanism_matrix,3072,3072,0.002068910005618818,1484839.8391698792,"insert into mechanism_weights values (?, ?, ?, ?, ?, ?)"
200000,2000,31453184,incremental_mv,load_router_policy,3,3,7.039998308755457e-06,426136.46600866085,"insert into router_policy values (?, ?, ?, ?)"
200000,2000,31453184,incremental_mv,ingest_reports,200000,200000,0.3799283489934169,526415.0478106741,"insert into reports values (?, ?, ?, ?, ?, ?, ?)"
200000,2000,31453184,incremental_mv,derive_cleaning_records,200000,200000,0.2546649099967908,785345.7313868657,"insert into cleaning_records select report_id, device_id, ts, case when ((report_bucket * 17 + device_id) % 100) / 100.0 >= 0.80 then 'privsaf_hmm' when ((report_bucket * 17 + device_id) % 100) / 100.0 >= 0.65 then 'pm_window_glr' else 'privsaf_mixture' end as operator, ((report_bucket * 17 + device_id) % 100) / 100.0 as posterior, case when ((report_bucket * 17 + device_id) % 100) / 100.0 >= 0.65 then report_bucket else null end, 0.20 as fault_ratio, case when ((report_bucket * 17 + device_id) % 100) / 100.0 >= 0.80 then 'repair' when ((report_bucket * 17 + device_id) % 100) / 100.0 >= 0.65 then 'flag' else 'pass' end as action, (2.0 * report_bucket / 31.0) - 1.0 as repair_value, 'router_v1' as provenance_version from reports"
200000,2000,31453184,incremental_mv,write_provenance_edges,200000,200000,0.023418548997142352,8540238.766475454,"insert into provenance_edges select report_id, 'reports', report_id, operator, 'pm32', 'cal_v1' from cleaning_records"
200000,2000,31453184,incremental_mv,index_incremental_state,200000,0,0.0015636260068276897,127907823.9468294,create indexes on incrementally maintained summaries
