station,name,download_url,bytes
CEN1,CEN1.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/CEN1.csv,5431
CEN2,CEN2.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/CEN2.csv,4171
CP1,CP1.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/CP1.csv,3340
DY2,DY2.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/DY2.csv,2442
EGP,EGP.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/EGP.csv,12703
FRE,FRE.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/FRE.csv,295
HUM,HUM.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/HUM.csv,5346
JAR,JAR.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/JAR.csv,360
JAR_O,JAR_O.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/JAR_O.csv,1049
KAN_L,KAN_L.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/KAN_L.csv,11372
KAN_Lv3,KAN_Lv3.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/KAN_Lv3.csv,788
KAN_M,KAN_M.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/KAN_M.csv,10745
KAN_Tv3,KAN_Tv3.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/KAN_Tv3.csv,218
KAN_U,KAN_U.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/KAN_U.csv,9197
KPC_L,KPC_L.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/KPC_L.csv,6457
KPC_U,KPC_U.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/KPC_U.csv,13350
KPC_Uv3,KPC_Uv3.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/KPC_Uv3.csv,830
LYN_L,LYN_L.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/LYN_L.csv,309
LYN_T,LYN_T.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/LYN_T.csv,3306
MIT,MIT.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/MIT.csv,12896
NAE,NAE.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/NAE.csv,3229
NAU,NAU.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/NAU.csv,4913
NEM,NEM.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/NEM.csv,5251
NSE,NSE.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/NSE.csv,5883
NUK_B,NUK_B.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/NUK_B.csv,270
NUK_K,NUK_K.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/NUK_K.csv,14731
NUK_L,NUK_L.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/NUK_L.csv,8707
NUK_N,NUK_N.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/NUK_N.csv,1595
NUK_U,NUK_U.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/NUK_U.csv,6084
NUK_Uv3,NUK_Uv3.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/NUK_Uv3.csv,2776
QAS_A,QAS_A.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/QAS_A.csv,872
QAS_L,QAS_L.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/QAS_L.csv,4256
QAS_Lv3,QAS_Lv3.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/QAS_Lv3.csv,751
QAS_M,QAS_M.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/QAS_M.csv,2497
QAS_Mv3,QAS_Mv3.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/QAS_Mv3.csv,435
QAS_U,QAS_U.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/QAS_U.csv,7074
QAS_Uv3,QAS_Uv3.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/QAS_Uv3.csv,1746
RED_Lv3,RED_Lv3.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/RED_Lv3.csv,182
Roof_GEUS,Roof_GEUS.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/Roof_GEUS.csv,216
SCO_L,SCO_L.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/SCO_L.csv,16407
SCO_U,SCO_U.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/SCO_U.csv,2770
SDL,SDL.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/SDL.csv,4168
SDM,SDM.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/SDM.csv,7627
SWC_O,SWC_O.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/SWC_O.csv,794
TAS_A,TAS_A.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/TAS_A.csv,4381
TAS_Av3,TAS_Av3.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/TAS_Av3.csv,298
TAS_L,TAS_L.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/TAS_L.csv,6842
TAS_U,TAS_U.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/TAS_U.csv,2443
THU_L,THU_L.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/THU_L.csv,7144
THU_L2,THU_L2.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/THU_L2.csv,1575
THU_U,THU_U.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/THU_U.csv,10667
THU_U2,THU_U2.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/THU_U2.csv,6588
THU_U2v3,THU_U2v3.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/THU_U2v3.csv,280
TUN,TUN.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/TUN.csv,3342
UPE_L,UPE_L.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/UPE_L.csv,19813
UPE_U,UPE_U.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/UPE_U.csv,11045
UWN,UWN.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/UWN.csv,119
WAT_BR_sd,WAT_BR_sd.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/WAT_BR_sd.csv,876
WEG_B,WEG_B.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/WEG_B.csv,78
WEG_L,WEG_L.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/WEG_L.csv,715
ZAC_A,ZAC_A.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/ZAC_A.csv,234
ZAC_Lv3,ZAC_Lv3.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/ZAC_Lv3.csv,578
ZAC_Uv3,ZAC_Uv3.csv,https://raw.githubusercontent.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/master/flags/ZAC_Uv3.csv,2085
